kod_kreskowy;ilosc
4006040131304;10
4016249003531;6
5907814666499;6
8717496900142;6
5904730776042;6
5904730776059;6
8595178201714;10
8595178200748;10
8714685000027;6
5902741007094;10
5907814660091;6
4008471504450;6
4008471503040;6
4008471503828;6
4008471503835;4
4008471504405;6
5907814664563;12
5902741000910;2
8009004811386;6
5902741007162;10
5908259954097;6
5908259954721;6
42074724;6
8713576100129;12
5907814666482;2
5907814665287;2
8018229301404;3
8717496900081;6
5905533000013;3
4015533021336;6
3375190070155;3
5907814664426;6
5907814661029;6
9007833008259;4
4005047166012;3
3431590012956;60
3431590012963;60
5907667874676;6
4008471512127;4
5907667874270;12
5906205501012;12
5907814665720;18
5907814664303;12
5907814666161;12
